district,crop,season,temperature,humidity,rainfall,demand,supply,price_per_kg
Thanjavur,Sugarcane,Light Rain,24.5,72,70.2,1121,1195,4.2
Chennai,Beans,Light Rain,26.5,77,69.3,564,551,31.26
Salem,Corn,Rainy,26.9,86,191.9,603,749,19.2
Krishnagiri,Tomato,Normal,31.9,60,31.5,818,803,26.98
Ramanathapuram,Okra,Rainy,29.0,88,188.5,454,557,22.79
Tiruppur,Sugarcane,Summer,38.2,61,10.8,1217,933,6.25
Kanchipuram,Cauliflower,Normal,29.9,61,22.3,530,445,32.36
Vellore,Beans,Summer,35.3,61,0.0,623,431,53.68
Ramanathapuram,Bitter Gourd,Normal,32.3,59,23.4,382,365,32.28
Villupuram,Pumpkin,Summer,33.0,55,5.4,527,349,28.9
Vellore,Beans,Normal,29.7,59,31.6,596,578,36.95
Tiruppur,Rice,Normal,33.4,65,22.3,947,1045,46.75
Pudukottai,Rice,Summer,36.4,61,11.3,1167,806,63.67
Virudhunagar,Cauliflower,Rainy,27.4,88,186.7,397,640,18.97
Coimbatore,Beans,Normal,31.8,59,23.9,551,558,39.29
Tirunelveli,Snake Gourd,Summer,36.6,52,10.7,361,234,34.73
Tiruvannamalai,Tapioca,Summer,38.9,58,12.5,750,496,18.86
Madurai,Mango,Light Rain,29.4,79,63.6,795,868,52.48
Erode,Okra,Summer,39.3,60,2.0,616,385,41.27
Nagapattinam,Onion,Light Rain,25.8,79,56.9,698,726,27.0
Salem,Tomato,Light Rain,25.6,72,71.3,733,801,22.97
Salem,Corn,Rainy,26.5,85,190.1,617,854,17.72
Kanchipuram,Tomato,Normal,29.3,61,35.3,772,763,27.26
Coimbatore,Cabbage,Light Rain,28.2,80,62.7,568,600,19.56
Pudukottai,Tapioca,Normal,29.8,67,19.3,661,521,14.55
Virudhunagar,Cauliflower,Rainy,30.9,92,182.2,388,654,18.27
Tiruvannamalai,Tomato,Light Rain,29.2,74,63.2,794,807,24.2
Sivaganga,Bitter Gourd,Normal,31.1,67,31.6,405,324,36.06
Tiruppur,Rice,Light Rain,28.4,76,60.4,988,1061,39.91
Tiruchirappalli,Groundnut,Rainy,26.6,89,182.2,564,787,53.37
Vellore,Groundnut,Summer,37.9,59,10.4,751,681,106.11
Dharmapuri,Okra,Light Rain,27.9,70,68.1,521,502,25.21
Pudukottai,Tapioca,Normal,32.4,59,22.7,670,610,13.66
Tiruppur,Beans,Summer,38.1,53,0.0,602,529,48.53
Krishnagiri,Beans,Normal,30.4,63,27.4,488,607,34.28
Sivaganga,Groundnut,Light Rain,28.3,80,71.2,740,767,68.4
Tirunelveli,Banana,Rainy,30.0,88,195.6,654,922,21.03
Coimbatore,Cauliflower,Rainy,28.5,89,180.4,440,658,19.21
Coimbatore,Potato,Rainy,27.1,90,189.5,562,844,23.35
Nagapattinam,Banana,Summer,33.1,53,0.0,828,639,36.85
Ramanathapuram,Rice,Normal,32.0,60,24.3,1010,1013,51.35
Madurai,Mango,Rainy,29.9,93,191.6,778,1070,39.69
Salem,Mango,Summer,38.2,54,11.2,1012,771,83.89
Chennai,Onion,Summer,34.5,56,3.9,919,653,44.11
Erode,Coconut,Summer,36.3,56,13.4,992,751,26.72
Dindigul,Rice,Light Rain,27.0,70,66.7,1012,1018,41.53
Pudukottai,Banana,Rainy,28.8,89,196.6,757,892,21.36
Dharmapuri,Onion,Summer,37.5,57,12.5,888,592,43.96
Nagapattinam,Tomato,Rainy,24.9,94,199.8,633,943,17.67
Kanchipuram,Cauliflower,Rainy,28.9,92,194.2,537,551,20.5
Thiruvarur,Banana,Light Rain,23.6,71,52.5,707,871,24.82
Ramanathapuram,Rice,Normal,31.9,62,28.6,947,965,51.18
Ramanathapuram,Banana,Summer,39.2,62,10.8,843,739,37.3
Dharmapuri,Tomato,Summer,40.0,52,9.7,814,615,35.84
Kanchipuram,Rice,Rainy,28.6,88,189.3,821,1173,32.11
Coimbatore,Onion,Rainy,29.9,94,194.8,675,914,22.62
Cuddalore,Okra,Rainy,25.4,85,193.4,381,598,21.63
Dharmapuri,Rice,Light Rain,28.1,71,59.4,896,1037,39.96
Virudhunagar,Potato,Light Rain,28.8,75,57.0,607,728,29.4
Dharmapuri,Rice,Normal,31.7,59,35.0,948,908,50.42
Cuddalore,Okra,Rainy,24.2,88,188.2,346,581,18.7
Thiruvarur,Sugarcane,Summer,36.7,60,11.3,1287,942,6.34
Tiruvannamalai,Groundnut,Rainy,28.1,84,195.7,620,800,58.64
Ramanathapuram,Rice,Rainy,28.9,88,191.8,876,1110,34.79
Cuddalore,Tomato,Light Rain,23.5,72,57.1,832,844,22.93
Vellore,Okra,Normal,30.0,59,35.6,469,406,29.16
Dharmapuri,Carrot,Summer,37.2,56,0.3,589,344,63.88
Nagapattinam,Bitter Gourd,Normal,28.5,64,27.0,436,416,32.9
Chennai,Rice,Normal,31.3,61,34.4,993,942,46.6
Cuddalore,Okra,Summer,36.2,62,9.0,505,477,40.29
Chennai,Rice,Rainy,25.3,85,192.3,855,1246,31.34
Madurai,Drumstick,Rainy,31.0,89,183.7,377,520,30.41
Thiruvarur,Sugarcane,Light Rain,23.8,79,65.4,1071,1102,4.59
Villupuram,Onion,Rainy,24.1,94,189.2,625,934,21.42
Dharmapuri,Banana,Summer,39.2,57,8.0,856,646,39.61
Thiruvarur,Tapioca,Summer,36.9,58,3.6,683,424,21.31
Pudukottai,Banana,Normal,31.6,66,21.1,855,732,28.92
Sivaganga,Okra,Light Rain,25.1,73,57.8,518,425,26.46
Thoothukudi,Rice,Normal,33.0,69,21.9,1043,992,51.94
Namakkal,Beans,Summer,35.4,61,8.7,552,497,48.71
Virudhunagar,Banana,Rainy,27.3,87,194.3,737,1028,20.04
Salem,Drumstick,Normal,29.8,64,28.6,360,460,44.13
Nagapattinam,Okra,Normal,29.7,66,32.2,515,423,32.09
Nagapattinam,Tapioca,Light Rain,23.2,74,62.9,631,581,13.61
Coimbatore,Tomato,Normal,30.1,67,19.9,850,723,26.62
Krishnagiri,Rice,Rainy,27.0,89,197.0,868,1145,33.33
Chennai,Okra,Rainy,25.1,88,198.2,445,567,20.82
Salem,Tapioca,Light Rain,28.7,76,57.5,602,682,12.62
Chennai,Rice,Summer,35.2,62,1.4,1138,774,65.01
Villupuram,Beans,Normal,28.3,59,22.1,496,562,35.18
Krishnagiri,Potato,Normal,31.3,65,23.0,671,609,35.96
Thiruvarur,Tomato,Summer,34.8,61,13.3,940,609,34.19
Dharmapuri,Beans,Rainy,31.5,94,184.0,507,689,24.03
Namakkal,Banana,Light Rain,26.9,79,60.3,783,765,26.63
Tiruchirappalli,Tomato,Light Rain,26.2,78,57.8,687,768,20.85
Erode,Beans,Rainy,28.7,94,192.4,448,575,25.86
Villupuram,Pumpkin,Normal,30.7,68,36.9,431,414,21.83
Nagapattinam,Rice,Normal,28.0,68,22.9,995,925,50.69
Vellore,Cabbage,Rainy,27.2,88,183.7,433,680,14.05
Salem,Tapioca,Normal,30.0,68,21.7,611,532,14.62
Pudukottai,Banana,Light Rain,25.7,77,53.5,806,899,23.47
Kanchipuram,Bitter Gourd,Light Rain,25.3,74,70.1,362,374,29.95
Vellore,Rice,Light Rain,28.7,76,64.3,1020,1081,43.47
Salem,Okra,Rainy,27.9,88,180.5,502,512,22.03
Tiruppur,Cauliflower,Light Rain,27.9,77,54.5,571,621,23.79
Pudukottai,Onion,Light Rain,28.7,75,67.1,726,811,29.84
Chennai,Rice,Light Rain,27.0,74,64.2,945,1102,40.89
Cuddalore,Rice,Light Rain,24.4,70,64.8,915,1105,43.65
Krishnagiri,Onion,Light Rain,29.8,77,57.9,669,820,28.08
Erode,Tomato,Rainy,28.1,85,190.5,618,841,18.75
Dharmapuri,Carrot,Summer,38.7,55,2.9,641,447,53.89
Coimbatore,Rice,Summer,38.7,53,0.0,1121,811,62.81
Chennai,Bitter Gourd,Summer,34.6,55,0.0,419,373,41.28
Virudhunagar,Cauliflower,Rainy,30.2,86,187.3,466,601,21.61
Madurai,Chilli,Summer,39.3,53,7.1,529,373,153.48
Salem,Tomato,Rainy,26.3,86,197.8,678,911,17.22
Kanchipuram,Okra,Rainy,28.6,92,186.2,495,493,23.69
Tiruvannamalai,Rice,Summer,37.1,57,0.0,1107,885,63.78
Krishnagiri,Rice,Summer,38.7,61,12.4,1029,883,62.26
Thiruvarur,Sugarcane,Light Rain,26.8,78,53.0,1157,1146,4.05
Cuddalore,Drumstick,Light Rain,24.7,75,60.9,455,491,40.98
Villupuram,Corn,Light Rain,25.4,80,63.7,614,713,22.33
Sivaganga,Okra,Light Rain,25.2,79,69.6,446,481,24.33
Nagapattinam,Onion,Rainy,24.7,89,183.0,604,915,23.41
Salem,Cauliflower,Normal,31.5,66,32.8,499,542,27.13
Cuddalore,Drumstick,Light Rain,25.0,79,63.3,354,450,36.88
Krishnagiri,Groundnut,Rainy,28.6,87,187.6,616,938,50.19
Kanchipuram,Onion,Light Rain,25.6,77,56.6,682,758,26.78
Salem,Corn,Summer,36.1,53,12.9,760,578,34.52
Sivaganga,Drumstick,Rainy,26.7,89,182.3,366,414,34.84
Kanchipuram,Okra,Normal,28.4,59,22.8,556,416,33.44
Tiruvannamalai,Beans,Summer,36.6,54,0.0,544,394,47.38
Pudukottai,Tomato,Summer,35.9,59,8.8,847,607,33.64
Namakkal,Banana,Rainy,28.5,88,199.0,636,975,20.99
Virudhunagar,Beans,Summer,39.0,53,7.8,679,427,55.38
Dharmapuri,Potato,Light Rain,29.0,73,53.8,603,615,29.62
Thanjavur,Banana,Rainy,28.1,92,183.2,627,984,18.45
Nagapattinam,Tomato,Normal,28.4,62,22.4,724,836,22.9
Coimbatore,Cauliflower,Light Rain,28.0,79,54.7,487,490,24.45
Thanjavur,Sugarcane,Rainy,25.9,85,193.6,1013,1258,3.63
Cuddalore,Rice,Summer,35.6,54,0.0,1116,902,69.11
Villupuram,Corn,Normal,28.5,63,23.6,680,656,24.87
Kanchipuram,Rice,Light Rain,25.0,77,54.8,952,1023,44.14
Ramanathapuram,Onion,Rainy,27.2,92,187.9,694,896,23.22
Vellore,Mango,Rainy,28.3,85,184.4,691,1026,39.83
Kanchipuram,Rice,Normal,30.8,61,21.6,1005,1054,44.6
Tiruchirappalli,Rice,Rainy,29.2,91,189.4,877,1148,35.79
Nagapattinam,Banana,Rainy,26.5,92,181.2,770,927,22.06
Tiruvannamalai,Corn,Normal,33.4,60,33.5,722,712,24.84
Pudukottai,Beans,Light Rain,26.4,78,57.6,572,543,35.41
Coimbatore,Cauliflower,Rainy,30.5,87,187.0,429,601,19.81
Madurai,Okra,Light Rain,28.8,74,58.0,403,491,25.52
Coimbatore,Potato,Summer,39.5,62,0.0,698,585,43.63
Coimbatore,Tomato,Light Rain,29.4,80,53.3,786,738,23.28
Thiruvarur,Banana,Light Rain,26.3,78,53.6,842,821,24.69
Villupuram,Tomato,Normal,30.3,68,18.2,867,706,27.26
Thiruvarur,Sugarcane,Summer,35.8,54,0.8,1240,888,6.64
Thoothukudi,Tomato,Light Rain,28.9,70,71.3,837,764,24.19
Vellore,Okra,Light Rain,25.3,71,57.0,395,455,24.71
Vellore,Carrot,Summer,38.2,53,0.0,537,473,48.82
Thanjavur,Bitter Gourd,Summer,37.0,54,11.8,421,250,46.15
Cuddalore,Okra,Normal,30.9,65,18.4,499,436,29.63
Namakkal,Banana,Normal,30.1,63,38.0,892,813,29.7
Coimbatore,Tomato,Light Rain,29.9,76,59.9,833,837,21.87
Pudukottai,Onion,Rainy,28.0,87,180.7,703,832,22.71
Namakkal,Banana,Summer,36.4,58,2.2,943,669,42.75
Virudhunagar,Carrot,Normal,33.7,62,26.7,577,530,43.58
Thanjavur,Sugarcane,Light Rain,24.2,77,66.1,1041,1231,4.03
Tiruchirappalli,Drumstick,Rainy,27.3,85,186.2,362,546,32.29
Virudhunagar,Potato,Normal,31.6,65,26.2,758,580,38.07
Tiruchirappalli,Bitter Gourd,Summer,38.0,61,0.1,385,229,48.15
Ramanathapuram,Tapioca,Light Rain,27.8,77,64.2,661,693,12.3
Chennai,Rice,Light Rain,25.1,79,53.6,986,1010,45.52
Villupuram,Onion,Summer,35.9,53,0.0,821,543,47.84
Salem,Tomato,Summer,37.4,52,4.0,955,707,31.88
Vellore,Tomato,Normal,32.2,61,30.2,762,760,27.27
Vellore,Groundnut,Normal,29.9,67,18.1,670,750,82.09
Tiruvannamalai,Beans,Summer,39.4,55,4.0,616,502,45.61
Erode,Okra,Summer,38.8,52,0.4,590,327,48.41
Krishnagiri,Tomato,Rainy,27.3,84,191.9,747,934,18.91
Kanchipuram,Tapioca,Summer,35.0,62,0.0,610,469,18.93
Salem,Rice,Summer,38.9,62,0.0,1160,908,66.72
Namakkal,Groundnut,Rainy,29.8,92,197.8,716,929,58.74
Madurai,Rice,Normal,32.3,65,20.6,1049,1052,50.03
Cuddalore,Coconut,Summer,34.8,62,5.1,923,660,24.83
Virudhunagar,Beans,Light Rain,28.1,78,60.9,485,571,34.0
Tiruvannamalai,Corn,Normal,30.8,68,30.5,671,669,24.09
Ramanathapuram,Banana,Normal,31.7,66,24.4,806,836,29.75
Tiruchirappalli,Tomato,Light Rain,26.2,79,68.2,686,773,23.61
Coimbatore,Cabbage,Light Rain,27.5,77,53.9,630,571,20.07
Namakkal,Banana,Normal,29.9,66,20.5,782,778,29.08
Thanjavur,Tomato,Normal,30.2,60,19.5,750,830,25.1
Tiruppur,Cauliflower,Rainy,28.4,88,191.1,425,683,20.57
Nagapattinam,Beans,Light Rain,23.7,75,61.8,599,623,32.83
Tirunelveli,Snake Gourd,Rainy,28.1,86,189.3,341,397,17.4
Cuddalore,Rice,Rainy,25.5,88,195.4,784,1219,35.07
Tiruppur,Cauliflower,Light Rain,26.7,73,58.5,504,599,23.07
Dindigul,Carrot,Summer,39.9,61,3.4,637,353,64.67
Kanchipuram,Tapioca,Summer,34.9,58,8.7,731,465,19.73
Pudukottai,Beans,Light Rain,25.6,79,56.9,460,478,34.88
Tiruvannamalai,Tomato,Light Rain,26.6,70,70.7,687,725,20.7
Villupuram,Beans,Summer,35.7,55,1.1,575,503,44.63
Thiruvarur,Sugarcane,Summer,33.3,60,3.7,1282,947,6.72
Kanchipuram,Tapioca,Rainy,25.5,90,198.7,600,665,9.82
Tirunelveli,Pumpkin,Normal,31.9,68,30.5,364,332,22.7
Tiruchirappalli,Onion,Summer,37.0,60,7.1,787,568,44.48
Virudhunagar,Beans,Rainy,27.7,85,191.5,521,669,27.93
Tiruchirappalli,Tomato,Light Rain,25.1,75,59.9,716,835,21.28
Vellore,Mango,Rainy,29.6,92,190.1,784,1017,42.68
Kanchipuram,Tomato,Light Rain,27.9,76,53.3,797,742,24.86
Dharmapuri,Carrot,Normal,31.2,59,22.5,502,495,43.29
Pudukottai,Onion,Normal,32.1,68,20.3,739,781,32.34
Kanchipuram,Bitter Gourd,Light Rain,26.4,73,59.5,290,438,27.65
Tiruvannamalai,Groundnut,Rainy,29.9,84,194.4,573,872,55.56
Kanchipuram,Beans,Light Rain,26.5,79,65.8,558,587,31.4
Kanchipuram,Tapioca,Light Rain,27.2,76,60.5,526,678,11.59
Namakkal,Tomato,Light Rain,27.0,79,67.8,763,724,23.41
Tiruchirappalli,Beans,Light Rain,29.0,78,67.5,559,636,30.04
Chennai,Cabbage,Normal,31.6,59,19.2,564,561,21.04
Thiruvarur,Beans,Summer,33.7,55,3.5,600,491,49.53
Tirunelveli,Onion,Rainy,30.5,92,186.8,651,912,21.18
Thanjavur,Bitter Gourd,Rainy,25.6,93,181.0,326,373,24.09
Madurai,Rice,Normal,31.7,64,30.8,949,948,44.93
Chennai,Tomato,Summer,38.0,52,0.1,821,654,32.6
Kanchipuram,Beans,Light Rain,26.0,79,68.0,563,530,33.14
Cuddalore,Tapioca,Rainy,24.7,85,194.5,542,628,10.16
Cuddalore,Coconut,Rainy,25.3,93,191.6,679,932,12.34
Ramanathapuram,Onion,Normal,31.8,67,23.3,820,683,31.71
Chennai,Cabbage,Summer,34.3,55,9.4,608,561,27.87
Tiruchirappalli,Groundnut,Normal,31.2,59,27.0,706,687,73.61
Erode,Tomato,Light Rain,29.9,74,53.2,838,787,21.39
Tiruppur,Okra,Normal,30.5,59,27.8,424,424,29.48
Namakkal,Onion,Normal,31.5,62,29.6,729,709,32.75
Tiruppur,Cauliflower,Summer,37.2,59,3.5,685,514,38.64
Krishnagiri,Rice,Normal,31.0,65,23.0,1080,1037,51.33
Thanjavur,Tapioca,Rainy,27.1,84,197.1,481,666,9.79
Cuddalore,Beans,Rainy,27.3,90,189.7,406,665,23.84
Tiruppur,Cauliflower,Summer,39.6,52,13.6,553,466,38.85
Thoothukudi,Pumpkin,Light Rain,27.0,77,60.5,362,347,17.55
Kanchipuram,Okra,Rainy,27.2,92,190.0,443,538,22.66
Dindigul,Rice,Normal,30.7,63,28.7,1031,915,46.57
Krishnagiri,Rice,Normal,30.3,65,37.1,1065,912,53.08
Kanchipuram,Bitter Gourd,Rainy,28.2,84,193.2,382,341,25.69
Chennai,Rice,Normal,29.5,68,18.5,1034,1004,48.65
Coimbatore,Sugarcane,Summer,38.4,60,1.3,1306,869,7.24
Namakkal,Coconut,Normal,31.5,60,23.1,839,825,19.35
Madurai,Rice,Summer,39.5,54,1.9,1065,824,61.43
Tirunelveli,Chilli,Light Rain,29.8,76,66.3,483,456,104.2
Virudhunagar,Rice,Rainy,29.4,92,198.6,785,1239,34.99
Thanjavur,Banana,Normal,28.1,63,19.7,782,792,29.66
Krishnagiri,Groundnut,Normal,32.6,69,35.9,750,665,75.1
Tiruvannamalai,Rice,Normal,33.3,59,18.9,938,1050,49.65
Coimbatore,Tomato,Summer,36.4,55,0.0,846,622,36.99
Sivaganga,Okra,Normal,30.7,61,23.3,473,513,28.96
Tiruvannamalai,Tapioca,Normal,33.4,64,35.1,664,574,14.81
Dharmapuri,Mango,Summer,37.6,58,8.5,932,697,72.95
Villupuram,Beans,Light Rain,25.2,77,55.6,570,613,35.1
Madurai,Onion,Rainy,31.6,84,181.1,661,861,22.12
Pudukottai,Tapioca,Rainy,26.9,92,194.8,520,682,10.17
Chennai,Cabbage,Rainy,27.2,89,186.4,590,631,15.08
Tiruvannamalai,Okra,Normal,30.2,68,37.4,425,420,28.62
Nagapattinam,Tomato,Summer,33.4,54,0.0,917,612,34.73
Dharmapuri,Okra,Light Rain,27.1,78,61.0,466,481,26.92
Tiruppur,Cauliflower,Summer,38.0,59,11.0,685,421,41.27
Virudhunagar,Banana,Normal,33.8,63,35.9,749,852,26.34
Thiruvarur,Onion,Rainy,26.6,94,192.9,625,880,22.04
Erode,Tomato,Summer,38.5,62,10.6,887,686,31.47
Tiruchirappalli,Tomato,Normal,32.2,60,22.1,880,833,24.04
Nagapattinam,Rice,Light Rain,23.5,77,53.7,1015,1106,45.93
Sivaganga,Drumstick,Normal,29.1,66,31.7,510,448,47.94
Virudhunagar,Potato,Summer,38.2,62,0.0,719,601,41.96
Nagapattinam,Onion,Normal,29.8,59,33.0,735,789,33.52
Thiruvarur,Sugarcane,Rainy,26.9,93,198.3,1043,1252,3.4
Dharmapuri,Okra,Summer,39.2,55,2.5,517,372,42.53
Dharmapuri,Okra,Normal,31.8,68,27.9,422,510,28.77
Salem,Cauliflower,Normal,31.6,64,22.0,471,559,25.45
Thoothukudi,Tomato,Light Rain,26.7,80,52.5,795,789,24.6
Nagapattinam,Banana,Light Rain,26.8,78,63.7,818,847,27.53
Dharmapuri,Mango,Summer,40.6,60,13.3,1006,719,85.7
Pudukottai,Banana,Light Rain,26.2,74,69.3,858,826,24.26
Tirunelveli,Banana,Normal,30.4,67,29.8,799,859,28.73
Sivaganga,Bitter Gourd,Normal,32.3,68,37.1,355,352,34.54
Krishnagiri,Carrot,Rainy,28.2,93,195.1,380,530,27.97
Thanjavur,Sugarcane,Normal,31.6,61,18.7,1192,1178,4.68
Ramanathapuram,Chilli,Summer,39.5,58,2.1,582,349,158.43
Villupuram,Okra,Summer,33.2,56,0.0,624,421,45.0
Cuddalore,Rice,Light Rain,23.8,73,67.2,885,966,43.97
Dindigul,Tomato,Rainy,30.6,89,181.3,753,933,18.88
Virudhunagar,Banana,Summer,39.2,52,2.4,961,603,38.68
Vellore,Carrot,Light Rain,26.2,78,57.4,528,434,39.26
Chennai,Okra,Summer,34.6,62,13.2,500,341,38.6
Villupuram,Okra,Normal,28.0,69,24.1,478,418,29.56
Ramanathapuram,Chilli,Summer,38.2,55,10.7,605,315,171.23
Sivaganga,Rice,Light Rain,25.3,70,68.2,880,1009,42.54
Pudukottai,Bitter Gourd,Rainy,28.2,91,198.4,264,441,22.61
Salem,Onion,Light Rain,26.3,77,60.6,744,718,28.09
Kanchipuram,Coconut,Light Rain,27.9,77,55.9,742,796,16.91
Sivaganga,Beans,Rainy,26.6,84,182.3,425,670,23.94
Villupuram,Okra,Rainy,27.8,89,192.3,387,576,21.25
Virudhunagar,Chilli,Normal,32.2,60,18.3,419,462,104.33
Tiruchirappalli,Banana,Light Rain,27.1,75,54.5,788,764,24.96
Virudhunagar,Beans,Normal,31.5,60,20.3,495,563,38.11
Sivaganga,Okra,Rainy,27.1,84,188.4,413,506,21.03
Coimbatore,Coconut,Summer,37.9,53,0.0,928,638,24.26
Thanjavur,Sugarcane,Light Rain,25.1,76,52.9,1129,1188,4.35
Tirunelveli,Pumpkin,Normal,33.2,59,33.8,491,400,20.46
Tiruchirappalli,Bitter Gourd,Rainy,29.6,90,186.3,314,387,24.37
Salem,Tomato,Rainy,27.6,90,198.4,709,865,18.21
Erode,Okra,Normal,31.5,67,27.8,476,508,30.46
Virudhunagar,Tomato,Light Rain,29.3,71,70.5,693,861,21.65
Coimbatore,Rice,Light Rain,26.9,74,62.9,904,1095,44.66
Virudhunagar,Rice,Rainy,28.2,84,184.6,854,1154,31.24
Tiruvannamalai,Tomato,Summer,39.9,61,3.0,815,718,31.11
Tirunelveli,Snake Gourd,Light Rain,27.3,75,67.7,347,398,21.04
Tiruvannamalai,Groundnut,Summer,36.1,61,0.0,827,540,114.83
Coimbatore,Okra,Summer,38.0,58,12.7,576,406,43.6
Salem,Beans,Rainy,28.7,84,186.0,476,650,24.24
Krishnagiri,Beans,Summer,36.4,61,0.0,666,468,48.37
Salem,Rice,Rainy,29.0,89,199.8,885,1157,35.26
Thoothukudi,Onion,Rainy,27.3,87,193.5,719,873,24.71
Ramanathapuram,Snake Gourd,Rainy,28.3,85,197.7,310,425,17.1
Thanjavur,Rice,Rainy,28.6,91,186.9,900,1217,32.32
Thanjavur,Drumstick,Normal,30.2,68,19.6,500,359,49.19
Kanchipuram,Cauliflower,Summer,36.2,58,13.8,662,460,41.38
Dindigul,Onion,Summer,39.8,55,2.9,922,660,40.95
Namakkal,Banana,Normal,32.8,64,23.3,874,829,31.12
Erode,Sugarcane,Normal,32.7,62,32.7,1177,1056,4.63
Thiruvarur,Snake Gourd,Normal,30.2,65,34.2,333,396,23.43
Coimbatore,Okra,Light Rain,26.4,72,69.8,521,470,27.57
Sivaganga,Groundnut,Rainy,26.3,85,190.3,652,857,53.43
Chennai,Bitter Gourd,Summer,35.5,56,0.0,467,278,47.25
Pudukottai,Beans,Light Rain,26.1,72,61.6,611,533,35.06
Krishnagiri,Onion,Normal,32.1,61,27.3,837,718,31.95
Thanjavur,Onion,Light Rain,26.9,73,57.9,717,741,29.22
Thanjavur,Sugarcane,Rainy,27.2,85,188.6,983,1346,3.2
Thanjavur,Bitter Gourd,Rainy,26.1,89,196.2,265,470,22.89
Dharmapuri,Beans,Summer,38.5,57,0.0,579,435,46.71
Madurai,Okra,Normal,32.1,60,31.6,534,415,34.61
Tiruppur,Beans,Normal,30.4,69,25.3,637,468,37.08
Sivaganga,Onion,Summer,35.8,55,6.0,831,658,46.29
Tirunelveli,Ash Gourd,Summer,36.5,61,0.0,305,311,20.77
Dharmapuri,Mango,Summer,38.7,52,0.0,1047,669,81.07
Salem,Mango,Light Rain,26.3,79,58.2,825,879,53.81
Madurai,Turmeric,Normal,32.8,68,25.3,621,617,99.93
Vellore,Groundnut,Summer,36.5,59,0.2,902,546,110.52
Cuddalore,Onion,Rainy,27.8,86,189.7,655,809,22.68
Villupuram,Onion,Summer,36.4,61,0.8,893,586,46.61
Ramanathapuram,Pumpkin,Light Rain,30.0,74,70.6,434,348,19.7
Nagapattinam,Beans,Rainy,27.4,84,181.8,449,683,23.58
Krishnagiri,Potato,Rainy,30.2,88,190.1,634,755,24.41
Madurai,Turmeric,Normal,34.7,64,30.4,678,659,93.55
Cuddalore,Rice,Rainy,27.1,85,196.4,907,1136,36.78
Kanchipuram,Rice,Summer,36.1,56,10.8,1091,876,60.26
Villupuram,Tomato,Summer,33.1,60,4.2,896,604,36.41
Ramanathapuram,Snake Gourd,Rainy,28.4,89,185.2,236,425,17.81
Thiruvarur,Snake Gourd,Light Rain,26.2,75,67.9,323,344,20.96
Erode,Beans,Rainy,27.2,91,198.1,411,584,25.65
Vellore,Cauliflower,Rainy,27.4,87,183.4,532,695,20.9
Tirunelveli,Snake Gourd,Summer,37.5,54,8.6,476,316,33.73
Salem,Mango,Light Rain,26.7,76,70.2,825,864,51.21
Tiruvannamalai,Okra,Summer,39.4,59,0.0,630,448,39.54
Tiruppur,Rice,Rainy,27.5,89,180.0,908,1237,35.15
Villupuram,Onion,Normal,28.5,59,26.8,820,663,36.03
Namakkal,Rice,Light Rain,28.0,76,59.5,943,1061,41.02
Salem,Cauliflower,Normal,31.1,63,19.5,600,506,30.29
Vellore,Tomato,Light Rain,25.3,74,66.4,769,838,20.95
Tiruvannamalai,Tomato,Rainy,30.5,88,196.1,748,923,16.86
Chennai,Potato,Summer,36.4,54,0.0,672,563,42.73
Dindigul,Cabbage,Rainy,28.4,90,181.6,482,707,13.23
Cuddalore,Tapioca,Summer,33.2,57,8.3,686,503,19.13
Tirunelveli,Banana,Light Rain,28.4,72,68.7,787,769,27.34
Tiruchirappalli,Beans,Summer,38.5,61,4.7,551,499,46.57
Ramanathapuram,Bitter Gourd,Light Rain,27.8,77,63.8,345,324,28.28
Nagapattinam,Onion,Light Rain,24.5,72,54.4,709,692,31.07
Nagapattinam,Tomato,Light Rain,26.9,80,59.9,822,776,21.65
Thiruvarur,Rice,Normal,28.5,63,29.2,961,965,46.74
Dindigul,Beans,Normal,30.2,67,25.7,527,499,39.98
Kanchipuram,Okra,Light Rain,24.5,70,70.2,443,494,26.09
Sivaganga,Onion,Rainy,26.9,90,190.1,641,793,24.11
Namakkal,Banana,Summer,36.9,60,0.2,951,693,41.93
Erode,Corn,Normal,32.0,66,27.8,651,729,24.83
Salem,Tapioca,Summer,36.2,60,11.3,726,532,17.52
Virudhunagar,Onion,Rainy,28.0,92,190.3,731,790,23.62
Coimbatore,Cabbage,Light Rain,29.3,75,71.5,615,592,18.15
Ramanathapuram,Chilli,Normal,31.4,68,24.3,459,395,122.64
Pudukottai,Beans,Light Rain,28.7,73,69.1,526,544,34.44
Thanjavur,Banana,Light Rain,27.1,76,57.4,770,875,27.05
Villupuram,Rice,Normal,29.8,59,33.9,1075,1031,45.29
Ramanathapuram,Snake Gourd,Normal,31.0,67,18.9,375,403,23.13
Ramanathapuram,Pumpkin,Light Rain,28.2,78,66.8,387,411,18.8
Villupuram,Rice,Light Rain,24.4,74,53.0,897,1078,43.66
Thoothukudi,Chilli,Light Rain,26.9,75,67.7,473,459,99.69
Nagapattinam,Rice,Light Rain,24.1,77,56.7,946,989,44.07
Kanchipuram,Tapioca,Normal,30.6,66,20.6,632,581,14.64
Ramanathapuram,Banana,Normal,33.1,69,21.5,743,871,27.24
Tiruvannamalai,Corn,Light Rain,28.4,80,63.3,664,629,23.37
Ramanathapuram,Bitter Gourd,Rainy,27.2,87,198.6,364,481,23.01
